State,Group,Intent.to.Enroll.Score_nmean,Intent.to.Enroll.Score_sd,Community.College.Score_nmean,Community.College.Score_sd,University.Score_nmean,University.Score_sd,Vocational.or.Technical.School.Score_nmean,Vocational.or.Technical.School.Score_sd,Hybrid.Education.Score_nmean,Hybrid.Education.Score_sd,All.Online.Education.Score_nmean,All.Online.Education.Score_sd,Intent.to.Seek.New.Job.Score_nmean,Intent.to.Seek.New.Job.Score_sd,n,n.Intent.Score.Over.50,prop.Intent.Score.Over.50
AK,AK: WHOLE STATE,41.952002228269,15.8159078491916,43.2499217963276,11.2762949498253,43.2342167848649,13.4460852506763,46.8070661838751,13.8170568945656,46.8037773445033,15.3539064174217,45.144391832537,12.7844962896269,,,466730,165361,0.354296916846999
AK,AK: NA_MSA,42.7432301405915,15.6077343675054,44.1238758125315,10.6767384046177,44.1706687245852,13.6182323136774,44.931875970833,13.3740278621285,47.3526856826254,15.4524224941802,44.3495493356287,12.6162442923694,,,202146,74318,0.367645167354288
AK,"AK: ANCHORAGE, AK",40.5583971782634,16.1705269787022,39.4986917022524,10.7861279061324,42.592899606464,13.0092747541653,48.2504762203801,14.2991586030367,46.2045602026292,15.1984844371188,45.8620112199615,13.122183932845,,,191088,62339,0.326231893159173
AK,"AK: FAIRBANKS, AK",43.8142215899335,14.9216268502854,52.2729034315289,9.44715388636748,40.7997252814639,13.1114723934146,47.8883710662513,12.6621168730545,47.728813559322,15.5027547327931,45.2525938826069,12.2625512265321,,,40769,16223,0.397924893914494
AK,"AK: JUNEAU, AK",44.0768818165564,15.1018807803092,48.6393706418738,10.4443385333782,41.6986709577448,14.2940203505855,50.7328207878896,13.6890550227686,44.549436795995,14.9140137716633,44.2682519816437,11.4439805893355,,,16779,6577,0.391978067822874
AK,"AK: KETCHIKAN, AK",40.5586550895991,15.2916016047867,55.9541843709588,5.32413236018464,47.3757620543137,16.4007446019964,48.8871235913542,12.3759478760391,46.5985590245705,16.2616873018304,50.0411971180492,13.2658293029813,,,5413,1822,0.336597081101053
AK,"AK: KODIAK, AK",40.1288515406162,16.2206136088807,46.9164332399627,5.38306341458136,49.4112978524743,12.5510611847338,44.5198412698413,12.9239167428712,47.967787114846,15.4064517856739,47.3515406162465,11.2660872067777,,,4284,1537,0.358776844070962
AK,AK: NA_Gender,56.1955829263113,19.248105469699,45.4293905287747,11.7727325999429,49.6631981312381,14.4766374371265,12.5228286260353,5.3054691152088,43.6791250796347,14.7017658704707,45.119983011255,10.983334962506,,,4709,2988,0.634529624124018
AK,AK: F,42.6614338088751,15.9858332932896,44.718511964468,10.4313563428066,44.0453261264734,12.8918220444297,42.6829536445307,12.3685557736531,48.0787688183582,15.5631783645708,46.7643374317239,13.2647991522902,,,228301,82459,0.361185452538535
AK,AK: M,40.9005490858095,15.3844848428086,41.7423341202538,11.8747613535308,42.2457961304617,13.8593152507325,51.6919272516255,12.926573238148,45.5897726723202,15.0575665207062,43.5283752950952,12.1104487292926,,,227469,77369,0.34012986384958
AK,AK: Asian,52.6413315374254,16.4210952048605,43.5101500865884,10.6111076625997,44.2722724648836,13.1090635042688,52.4020107754474,13.4972961982744,63.8058014238984,14.7769468266973,47.1134308254762,11.905313746863,,,20788,11760,0.565710987107947
AK,AK: Black/African-American,56.2587768069897,15.9720593968385,41.1364575059571,10.0801978228515,51.5399523431295,12.4543379654338,42.7310563939635,11.0817202952472,51.5374106433678,15.3898545509804,49.7423351866561,11.9067587388774,,,6295,4189,0.665448768864178
AK,AK: Caucasian/White,39.8677558429771,15.4222000819211,42.6290656473094,10.7394676620894,42.4106089961774,13.1123835731846,51.9664170637622,10.8219239978631,46.5077970361837,15.0598351752698,45.0389275802482,13.397595277218,,,286455,90724,0.316712921750362
AK,AK: Hispanic/Latino,55.5198177676538,16.8346245796612,53.4697038724374,10.6448871128231,45.5824601366743,13.0903596029718,53.2643507972665,11.5056370835019,46.4260250569476,14.3159453067201,47.7515945330296,11.7249173201335,,,17560,10790,0.614464692482916
AK,AK: Missing,42.0439313973169,14.1838314976151,43.3122722762784,12.1546495008851,44.1057388462276,14.1704470408163,31.9999249606043,9.21353257759494,44.2311963780985,14.4043110279839,44.6547520781744,11.5861387172766,,,119937,41378,0.344997790506683
AK,AK: Other,44.2135712010194,16.122642516542,43.173749601784,10.2388425780872,44.272762026123,12.9586772681164,52.7938834023574,12.6687619179468,47.8697037273017,15.0565827663727,43.4417967505575,11.5772805786931,,,15695,6520,0.415418923223957
AK,AK: 18 to 35,62.0001522533496,7.91904966956151,41.5376300009369,12.2214607020788,58.6162395765015,10.9368432660078,34.0452660920079,11.495741310897,61.025730816078,10.1001499576672,54.0939286048909,8.21477783624445,,,85384,81416,0.953527592991661
AK,AK: 36 to 55,48.1843141219286,10.7389927177847,42.841583216384,11.0403965079899,47.78806403273,9.74937342496187,47.7361385314336,12.5175936766516,54.8048333769416,10.7640734542612,52.8993125758189,8.50858970618994,,,168164,78534,0.467008396565258
AK,AK: 56 +,28.5660271589426,7.7933238552632,44.3008940221331,10.9572086929576,33.1412458319238,7.68548396445431,51.3573527279756,12.4247210273991,34.4345527473059,10.0138160066562,35.1598463248442,9.77574116846302,,,206930,2866,0.0138500942347654
AL,AL: WHOLE STATE,43.5088533021455,20.4727048271945,49.0162590011094,11.6453313602392,52.7339301720134,16.2184102278565,41.8654756125073,15.4492694298913,51.4413736854234,14.1717409290402,50.5881736429679,15.2792400968458,50.4194384817076,17.8395382098697,4955778,1945011,0.392473391665244
